SA2_CODE21,SA2_NAME21,SA3_NAME21,SA4_NAME21,AREASQKM21,population,total_stops,train_stops,tram_stops,bus_stops,regional_stops,stops_per_sqkm,stops_per_10000_residents,mode_diversity,access_score
213051368,Werribee - South,Wyndham,Melbourne - West,114.033,17936,94,15,0,79,0,0.824,52.409,2,53.9
213051464,Point Cook - East,Wyndham,Melbourne - West,19.035,21797,34,0,0,34,0,1.786,15.598,1,10.0
213051466,Point Cook - South,Wyndham,Melbourne - West,9.422,20835,22,0,0,22,0,2.335,10.559,1,9.5
213051467,Werribee - East,Wyndham,Melbourne - West,7.757,19205,112,9,0,103,0,14.439,58.318,2,72.7
213051468,Werribee - West,Wyndham,Melbourne - West,127.663,32943,95,2,0,92,1,0.744,28.838,3,35.2
213051579,Manor Lakes - Quandong,Wyndham,Melbourne - West,72.034,13667,14,0,0,14,0,0.194,10.244,1,6.0
213051580,Point Cook - North East,Wyndham,Melbourne - West,5.553,14746,48,2,0,46,0,8.644,32.551,2,45.8
213051581,Point Cook - North West,Wyndham,Melbourne - West,2.938,10151,16,0,0,16,0,5.446,15.762,1,13.7
213051582,Tarneit (West) - Mount Cottrell,Wyndham,Melbourne - West,36.706,19169,19,0,0,19,0,0.518,9.912,1,6.6
213051583,Tarneit - Central,Wyndham,Melbourne - West,7.961,29246,80,0,0,80,0,10.049,27.354,1,24.2
213051584,Tarneit - North,Wyndham,Melbourne - West,14.345,15880,22,2,0,19,1,1.534,13.854,3,30.3
213051585,Tarneit - South,Wyndham,Melbourne - West,3.13,11864,33,0,0,33,0,10.543,27.815,1,25.2
213051586,Truganina - North,Wyndham,Melbourne - West,17.519,15384,38,0,0,38,0,2.169,24.701,1,13.5
213051587,Truganina - South East,Wyndham,Melbourne - West,4.268,10846,24,0,0,24,0,5.624,22.128,1,16.4
213051588,Truganina - South West,Wyndham,Melbourne - West,5.378,20395,38,0,0,38,0,7.066,18.632,1,17.1
213051589,Wyndham Vale - North,Wyndham,Melbourne - West,51.25,14515,22,0,0,22,0,0.429,15.157,1,7.8
213051590,Wyndham Vale - South,Wyndham,Melbourne - West,4.957,14135,67,2,0,64,1,13.515,47.4,3,67.3
214011370,Carrum Downs,Frankston,Mornington Peninsula,20.308,23464,105,0,0,105,0,5.17,44.749,1,33.2
214011371,Frankston,Frankston,Mornington Peninsula,11.624,25043,151,18,0,133,0,12.99,60.296,2,72.4
214011372,Frankston North,Frankston,Mornington Peninsula,13.238,19794,121,0,0,121,0,9.14,61.13,1,49.6
214011373,Frankston South,Frankston,Mornington Peninsula,14.56,19374,65,0,0,65,0,4.464,33.55,1,22.5
214011374,Langwarrin,Frankston,Mornington Peninsula,37.62,25788,96,0,0,96,0,2.552,37.227,1,23.7
214011375,Seaford (Vic.),Frankston,Mornington Peninsula,12.432,18305,95,8,0,87,0,7.642,51.898,2,61.3
214011376,Skye - Sandhurst,Frankston,Mornington Peninsula,19.815,13601,17,0,0,17,0,0.858,12.499,1,8.2
214021377,Dromana,Mornington Peninsula,Mornington Peninsula,45.057,13925,36,0,0,36,0,0.799,25.853,1,12.7
214021378,Flinders,Mornington Peninsula,Mornington Peninsula,287.379,6064,12,0,0,12,0,0.042,19.789,1,8.3
214021379,Hastings - Somers,Mornington Peninsula,Mornington Peninsula,108.884,23795,84,10,0,74,0,0.771,35.302,2,38.5
214021381,Mount Eliza,Mornington Peninsula,Mornington Peninsula,23.208,19110,31,0,0,31,0,1.336,16.222,1,9.6
214021382,Mount Martha,Mornington Peninsula,Mornington Peninsula,30.209,20161,78,0,0,78,0,2.582,38.689,1,25.1
214021383,Point Nepean,Mornington Peninsula,Mornington Peninsula,67.188,20574,198,0,0,198,0,2.947,96.238,1,47.5
214021384,Rosebud - McCrae,Mornington Peninsula,Mornington Peninsula,23.796,23508,78,0,0,78,0,3.278,33.18,1,21.1
214021385,Somerville,Mornington Peninsula,Mornington Peninsula,117.354,19098,57,6,0,51,0,0.486,29.846,2,33.1
214021591,Mornington - East,Mornington Peninsula,Mornington Peninsula,14.688,15082,49,0,0,49,0,3.336,32.489,1,20.5
214021592,Mornington - West,Mornington Peninsula,Mornington Peninsula,6.404,10900,69,0,0,69,0,10.774,63.303,1,52.3
